rank	username	minecraft:broken/minecraft:golden_helmet
1	00000000-0000-0000-0009-01ff0c3e5e4f	19
2	Yamdalorian	18
3	BobDeBouwer1337	10
4	Deathkob	9
5	El_Jalapeno	8
6	Mahoose	7
7	Mattesco	6
7	DanTheBuilderino	6
9	BlancoFlaco	5
9	SuperPooch06	5
9	Pumpkin_P_Patch	5
12	soundad	4
12	12Magner05	4
12	MyNameIsJobo	4
12	Kynigito	4
12	PaperCanvas	4
12	Akoot_	4
12	Nicky19	4
12	robonya_	4
12	RadarHz	4
12	PlasticOtari	4
22	joethahobo	3
22	noam464	3
22	Kubelz	3
22	Jackattack53	3
22	FishyBoy3811	3
22	NomadicRobin_	3
22	djancak	3
22	Enderxz3	3
30	teslawolf38	2
30	livingdaydreams	2
30	abdomera	2
30	CoffeeNoir	2
30	Cartoonmaniac	2
30	Alphanzt99	2
30	Ssor69	2
30	bloodbiter	2
30	poopybh	2
30	UncreativeArtist	2
30	himak1	2
30	r123moore	2
30	shadowthemonkey	2
30	thewindmillman	2
30	F_Uhre	2
30	Moofyman	2
30	PigDab	2
30	jewbacaman	2
30	TheShyPig	2
30	luseis	2
30	ReflexCode	2
30	FreakGenius	2
30	Druid95	2
30	SvenskaHugo	2
30	YungMaki	2
30	Segotep999	2
30	SammiWolfGirl	2
30	CalebDHawk	2
30	hermmm_	2
59	H0UNDFRMH3LL	1
59	Groovy_MoonBird	1
59	Tobinator_007	1
59	SKYPEX_	1
59	Elprone266	1
59	RoskobiOne	1
59	fanofbands101	1
59	LittleBug562	1
59	LEJKINS	1
59	PazinGaming	1
59	Ilinca_Io	1
59	Tommhh	1
59	KarlKaek	1
59	__lizi	1
59	Tolhart	1
59	RatatJuice	1
59	Hpdinosaur	1
59	_Razaria	1
59	LagVibes	1
59	Jahara	1
59	T045RTY	1
59	ActualPatbaf	1
59	TAKrules	1
59	KomputerDude	1
59	MLG_Kirby69	1
59	_AceOfSpace_	1
59	Lez_	1
59	Gregward_Smith	1
59	fr0stss	1
59	Historical_Sand	1
59	Dblikstad	1
59	teqilas	1
59	Whiterooster001	1
59	ccormacs	1
59	chlorinex	1
59	_vlex	1
59	Paranoidlemon	1
59	titanlax	1
59	PercivalCaduceus	1
59	Blackberry1310	1
59	Saucepeh	1
59	Crowman1	1
59	CliffEmAll	1
59	jacxhadow	1
59	kekhon	1
59	TheThomas69	1
59	zorin123	1
59	corvidpartyfor6	1
59	excelsionprime	1
59	lpinfinity	1
59	Laykon	1
59	Xalithia	1
59	__TheNorseMan__	1
59	xxPipperDipperxx	1
59	Paintz	1
59	purpolepickle	1
59	Bolete	1
59	HoltGrim	1
59	nstuartwilliams1	1
59	Winklepicker279	1
59	Giannism	1
59	legal_tax_evader	1
59	fr_ser	1
59	CarltheCuck	1
59	fragrantmonke444	1
59	okCrypto	1
59	Zythose	1
59	RefluxRatio	1
59	Reneedium	1
59	Boipl	1
59	Solar_Power	1
59	toastfetchd	1
59	Galactic_Badger	1
59	tobinwilliams	1
59	Donutt	1
59	Btabtab	1
59	seramalen	1
59	Ghemmah	1
59	cedric72	1
59	TeenMomTom	1
59	Kim_Jong_eel	1
59	Luminad3	1
59	Elastiq	1
59	Austinizzle	1
59	GooseWithin	1
59	ILoveCarrot	1
59	DizzleJay311	1
59	Joestra	1
59	aldplaysmc	1
59	Thomez_	1
59	Dakar_	1
59	DarlaMeow	1
59	ewpunk	1
59	Methalox1	1
59	QueenShuvi	1
59	DukBob	1
59	FlashMigma	1
59	SwooshBoi	1
59	pretty_pink_reno	1
59	Gus2005	1
59	560cool	1
59	halfbakedlasagna	1
59	lolpoottoot	1
59	THEKINGLyric10	1
59	Toriankel	1
59	SkateboardR6	1
59	Yahir091	1
59	mihimihimihi	1
59	monky_irl	1
59	Mistruth	1
59	Ze_BaronKrigler	1
59	Blasterboy54	1
59	33sudo	1
59	Strangemonkey71	1
59	OPTOMA_KING	1
59	Decaying_Lotus	1
59	IdeallyGrey	1
59	Kowcio_	1
59	Kijiki	1
59	pablopickle	1
59	cxtch	1
59	ediballbearings	1
59	Nekomin0	1
59	Luigipunch989	1
59	Seindi	1
59	DennyKai	1
59	Invintic	1
59	Nargotah	1
59	jcool7	1
59	MilleGrug	1
59	TrollerYT	1
59	SirBreadward	1
59	taengoos	1
59	Iamthejo	1
59	Ezekson	1
59	ConnorDanky_	1
59	11Brewer	1
59	EcksD	1
59	Quotary	1
59	GigiDuru	1
59	QueenOfDirt	1
59	ImScootronic	1
59	momis24	1
59	annebolyn	1
59	CrazyPotater	1
59	MelodyGaysharks	1
59	h2p_emrld	1
59	TheWickedBird	1
59	diggydog67	1
59	561cool	1
59	00000000-0000-0000-0009-01f570995a20	1
